dataset,cancer,gene,group_a,group_b,mean_a,mean_b,log2FC,t_stat,p_value,n_a,n_b
GSE199274,NEPC,MAPKAPK5,LKO_control,shCXCR7,10.2101,11.1389,0.1256,-0.5631,0.594221,6,6
GSE199274,NEPC,ADAM1A,LKO_control,shCXCR7,3.6184,4.8892,0.4342,-1.9707,0.082597,6,6
GSE199274,NEPC,TMEM116,LKO_control,shCXCR7,4.7304,6.2942,0.4121,-1.429,0.191072,6,6
GSE199274,NEPC,ERP29,LKO_control,shCXCR7,68.7198,66.8193,-0.0405,0.2054,0.845065,6,6
GSE199274,NEPC,NAA25,LKO_control,shCXCR7,9.3664,6.6073,-0.5034,3.386,0.008661,6,6
GSE199274,NEPC,MIR3657,LKO_control,shCXCR7,0.2023,0.5074,1.3263,-0.8677,0.408173,6,6
GSE199274,NEPC,TRAFD1,LKO_control,shCXCR7,11.446,13.1027,0.195,-0.8577,0.420212,6,6
GSE199274,NEPC,HECTD4,LKO_control,shCXCR7,7.2174,5.7956,-0.3165,2.1002,0.078027,6,6
GSE199274,NEPC,MIR6861,LKO_control,shCXCR7,0.0,0.0,0.0,0.0,1.0,6,6
GSE199274,NEPC,RPL6,LKO_control,shCXCR7,184.8997,192.7865,0.0603,-0.2995,0.773855,6,6
GSE199274,NEPC,PTPN11,LKO_control,shCXCR7,19.0712,21.8265,0.1947,-0.7243,0.487439,6,6
GSE199274,NEPC,MIR1302-1,LKO_control,shCXCR7,0.0,0.098,26.5467,-1.0,0.363217,6,6
GSE199274,NEPC,RPH3A,LKO_control,shCXCR7,0.0,0.0711,26.0842,-1.1749,0.292944,6,6
GSE199274,NEPC,OAS1,LKO_control,shCXCR7,0.2673,0.4292,0.6832,-1.019,0.346333,6,6
GSE199274,NEPC,OAS3,LKO_control,shCXCR7,1.0634,0.9428,-0.1736,1.0547,0.33011,6,6
GSE199274,NEPC,OAS2,LKO_control,shCXCR7,0.0066,0.1042,3.9727,-1.971,0.104934,6,6
GSE199274,NEPC,DTX1,LKO_control,shCXCR7,0.0099,0.0947,3.2592,-0.9374,0.39118,6,6
GSE199274,NEPC,RASAL1,LKO_control,shCXCR7,0.1385,0.1799,0.377,-0.3709,0.721628,6,6
GSE199274,NEPC,CCDC42B,LKO_control,shCXCR7,0.1087,0.1804,0.7308,-0.891,0.394771,6,6
GSE199274,NEPC,DDX54,LKO_control,shCXCR7,17.1491,16.9388,-0.0178,0.0825,0.936102,6,6
GSE199274,NEPC,MIR7106,LKO_control,shCXCR7,0.0,0.0,0.0,0.0,1.0,6,6
GSE199274,NEPC,RITA1,LKO_control,shCXCR7,18.6452,15.6254,-0.2549,1.4408,0.197008,6,6
GSE199274,NEPC,IQCD,LKO_control,shCXCR7,1.1712,1.8204,0.6363,-2.5435,0.042164,6,6
GSE199274,NEPC,TPCN1,LKO_control,shCXCR7,9.7994,14.4407,0.5594,-2.0806,0.086211,6,6
