context,direction,library,rank,term,p_value,adj_p_value,overlap_genes,matches_nominated_agent
sarcomatoid urothelial carcinoma,mimicry (control),LINCS_L1000_Chem_Pert_up,6,LJP008 HEPG2 24H-methylstat-10,0.0006652861797405717,0.5222178353354567,CTSL1;MAP1B;PDGFA;SLC3A2,
sarcomatoid urothelial carcinoma,mimicry (control),LINCS_L1000_Chem_Pert_up,7,LJP009 HT29 24H-chelerythrine chloride-10,0.0006926227437432815,0.5222178353354567,CTSL1;CDKN2C;IRF7;SLC3A2,
sarcomatoid urothelial carcinoma,mimicry (control),LINCS_L1000_Chem_Pert_up,8,LJP006 HEPG2 24H-canertinib-10,0.0007496673734677148,0.5222178353354567,CTSL1;G6PD;MAP1B;SLC3A2,
sarcomatoid urothelial carcinoma,mimicry (control),LINCS_L1000_Chem_Pert_up,9,LJP006 HT29 24H-celastrol-3.33,0.0009855857097339333,0.5222178353354567,CTSL1;G6PD;SLC3A2,
sarcomatoid urothelial carcinoma,mimicry (control),LINCS_L1000_Chem_Pert_up,10,LJP005 HCC515 24H-withaferin-a-1.11,0.001049570949771941,0.5222178353354567,CTSL1;COL6A2;MAP1B,
sarcomatoid urothelial carcinoma,mimicry (control),LINCS_L1000_Chem_Pert_up,11,LJP005 HEPG2 24H-erlotinib-10,0.0011852880325503546,0.5222178353354567,PHC2;MME;MAP1B,erlotinib
sarcomatoid urothelial carcinoma,mimicry (control),LINCS_L1000_Chem_Pert_up,12,LJP007 HA1E 24H-bosutinib-3.33,0.0012570974643791543,0.5222178353354567,IFRD2;PDGFA;SLC3A2,
sarcomatoid urothelial carcinoma,mimicry (control),LINCS_L1000_Chem_Pert_up,13,LJP008 HCC515 24H-CGK-733-10,0.0012879366423818566,0.5222178353354567,CTSL1;MAP1B;PDGFA;SLC3A2,
sarcomatoid urothelial carcinoma,mimicry (control),LINCS_L1000_Chem_Pert_up,14,LJP006 HCC515 24H-celastrol-3.33,0.0016135944084565259,0.5222178353354567,CTSL1;G6PD;P4HA2;SLC3A2,
sarcomatoid urothelial carcinoma,mimicry (control),LINCS_L1000_Chem_Pert_up,15,CPC017 ASC 24H-jak3 inhibitor vi-10.0,0.0016571503162161906,0.5222178353354567,P4HA2;ZKSCAN5;ARFGAP1,
sarcomatoid urothelial carcinoma,mimicry (control),LINCS_L1000_Chem_Pert_up,16,LJP007 HEPG2 24H-amuvatinib-10,0.0017162483931174011,0.5222178353354567,CTSL1;MAP1B;DSE;PDGFA,
sarcomatoid urothelial carcinoma,mimicry (control),LINCS_L1000_Chem_Pert_up,17,LJP009 HEPG2 24H-JWE-035-10,0.001935016425930071,0.5222178353354567,G6PD;MME;MAP1B;DBN1,
sarcomatoid urothelial carcinoma,mimicry (control),LINCS_L1000_Chem_Pert_up,18,LJP006 HEPG2 24H-afatinib-10,0.002028537114054332,0.5222178353354567,CTSL1;G6PD;SLC3A2,
sarcomatoid urothelial carcinoma,mimicry (control),LINCS_L1000_Chem_Pert_up,19,CPC006 A549 24H-tg101348-11.1,0.0021287985214251126,0.5222178353354567,P4HA2;ELP4;GALNT10,
sarcomatoid urothelial carcinoma,mimicry (control),LINCS_L1000_Chem_Pert_up,20,LJP005 BT20 24H-SB590885-1.11,0.0021287985214251126,0.5222178353354567,SLC43A3;IFRD2;COL6A2,
sarcomatoid urothelial carcinoma,mimicry (control),LINCS_L1000_Chem_Pert_up,21,LJP008 A375 24H-mocetinostat-1.11,0.0021287985214251126,0.5222178353354567,G6PD;P4HA2;MAP1B,
sarcomatoid urothelial carcinoma,mimicry (control),LINCS_L1000_Chem_Pert_up,22,LJP005 HA1E 24H-neratinib-3.33,0.002232090715723693,0.5222178353354567,MME;SLC43A3;SLC3A2,
sarcomatoid urothelial carcinoma,mimicry (control),LINCS_L1000_Chem_Pert_up,23,CPC001 HCC515 6H-gw 583340 dihydrochloride-10.0,0.002338445170286118,0.5222178353354567,SLC3A2;ZKSCAN5;RENBP,
sarcomatoid urothelial carcinoma,mimicry (control),LINCS_L1000_Chem_Pert_up,24,CPC013 A375 6H-BRD-K83336168-10.0,0.0024478928071568324,0.5222178353354567,CTSL1;PRKX;RENBP,
sarcomatoid urothelial carcinoma,mimicry (control),LINCS_L1000_Chem_Pert_up,25,LJP005 HEPG2 24H-radicicol-3.33,0.0024964687917206825,0.5222178353354567,CTSL1;G6PD;MME;P4HA2,
sarcomatoid urothelial carcinoma,mimicry (control),LINCS_L1000_Chem_Pert_up,26,CPC006 NCIH508 6H-bms-536924-11.1,0.0025604640021543393,0.5222178353354567,PQLC1;ZKSCAN5;RENBP,
sarcomatoid urothelial carcinoma,mimicry (control),LINCS_L1000_Chem_Pert_up,27,LJP009 MCF7 24H-JNK-IN-5A-0.37,0.0026761885894795987,0.5222178353354567,CTSL1;IFRD2;MAP1B,
sarcomatoid urothelial carcinoma,mimicry (control),LINCS_L1000_Chem_Pert_up,28,CPC019 A375 6H-BRD-K57678861-10.0,0.0029123453344535267,0.5222178353354567,PSRC1;ARFGAP1,
sarcomatoid urothelial carcinoma,mimicry (control),LINCS_L1000_Chem_Pert_up,29,LJP008 HT29 24H-methylstat-10,0.0029172146011053825,0.5222178353354567,CTSL1;MAP1B;SLC3A2,
sarcomatoid urothelial carcinoma,mimicry (control),LINCS_L1000_Chem_Pert_up,30,LJP006 MCF7 24H-celastrol-3.33,0.0029274875270976844,0.5222178353354567,P4HA2;COL6A2;MAP1B;SLC3A2,
sarcomatoid urothelial carcinoma,mimicry (control),LINCS_L1000_Chem_Pert_up,31,CPC003 HCC515 6H-hoechst  33342 (cell permeable) (bisbenzimide)-10.0,0.0030425730309443064,0.5222178353354567,LST1;ELP4;CD320,
sarcomatoid urothelial carcinoma,mimicry (control),LINCS_L1000_Chem_Pert_up,32,CPC002 HCC515 24H-sp 600125-10.0,0.0034383610832529024,0.5222178353354567,SLC3A2;ELP4;RENBP,
sarcomatoid urothelial carcinoma,mimicry (control),LINCS_L1000_Chem_Pert_up,33,LJP005 HT29 24H-radicicol-10,0.0035769503158224153,0.5222178353354567,CTSL1;G6PD;MAP1B,
sarcomatoid urothelial carcinoma,mimicry (control),LINCS_L1000_Chem_Pert_up,34,LJP006 MCF10A 24H-AT-7519-0.37,0.0035769503158224153,0.5222178353354567,MME;P4HA2;COL6A2,
sarcomatoid urothelial carcinoma,mimicry (control),LINCS_L1000_Chem_Pert_up,35,LJP006 HEPG2 24H-sorafenib-10,0.0038642734193652505,0.5222178353354567,MAP1B;PDGFA;SLC3A2,
sarcomatoid urothelial carcinoma,mimicry (control),LINCS_L1000_Chem_Pert_up,36,LJP006 HME1 24H-sirolimus-1.11,0.0038642734193652505,0.5222178353354567,P4HA2;MAP1B;DSE,
sarcomatoid urothelial carcinoma,mimicry (control),LINCS_L1000_Chem_Pert_up,37,CPC014 VCAP 24H-hy-70061-10.0,0.0039018419094564607,0.5222178353354567,P4HA2;RENBP,
sarcomatoid urothelial carcinoma,mimicry (control),LINCS_L1000_Chem_Pert_up,38,LJP008 HA1E 24H-C646-10,0.004013057148453636,0.5222178353354567,CTSL1;MME;MAP1B,
sarcomatoid urothelial carcinoma,mimicry (control),LINCS_L1000_Chem_Pert_up,39,LJP009 HEPG2 24H-ON-01910-10,0.004013057148453636,0.5222178353354567,MAP1B;DSE;DBN1,
sarcomatoid urothelial carcinoma,mimicry (control),LINCS_L1000_Chem_Pert_up,40,LJP006 HCC515 24H-withaferin-a-3.33,0.004013057148453636,0.5222178353354567,CTSL1;G6PD;P4HA2,
sarcomatoid urothelial carcinoma,mimicry (control),LINCS_L1000_Chem_Pert_up,41,CPC016 A375 6H-pi 828-10.0,0.00426169712968506,0.5222178353354567,P4HA2;ARFGAP1,
sarcomatoid urothelial carcinoma,mimicry (control),LINCS_L1000_Chem_Pert_up,42,LJP009 HEPG2 24H-dabrafenib-1.11,0.004320989929509312,0.5222178353354567,MAP1B;PDGFA;SLC3A2,
sarcomatoid urothelial carcinoma,mimicry (control),LINCS_L1000_Chem_Pert_up,43,LJP006 MCF7 24H-withaferin-a-1.11,0.004480185915123631,0.5222178353354567,G6PD;P4HA2;MAP1B,
sarcomatoid urothelial carcinoma,mimicry (control),LINCS_L1000_Chem_Pert_up,44,CPC017 HEPG2 6H-bapta-am-10.0,0.004642898789618039,0.5222178353354567,P4HA2;SLC3A2;ARFGAP1,
sarcomatoid urothelial carcinoma,mimicry (control),LINCS_L1000_Chem_Pert_up,45,CPC006 MCF7 6H-BRD-K31342827-12.12,0.004809150831254796,0.5222178353354567,P4HA2;LST1;ELP4,
sarcomatoid urothelial carcinoma,mimicry (control),LINCS_L1000_Chem_Pert_up,46,LJP008 HCC515 24H-methylstat-10,0.004940767546443419,0.5222178353354567,CTSL1;P4HA2;COL6A2;MAP1B,
sarcomatoid urothelial carcinoma,mimicry (control),LINCS_L1000_Chem_Pert_up,47,CPC006 A549 6H-7b-cis-10.0,0.004978963849802725,0.5222178353354567,P4HA2;SLC3A2;ELP4,
sarcomatoid urothelial carcinoma,mimicry (control),LINCS_L1000_Chem_Pert_up,48,LJP005 HT29 24H-withaferin-a-3.33,0.004978963849802725,0.5222178353354567,CTSL1;G6PD;SLC3A2,
sarcomatoid urothelial carcinoma,mimicry (control),LINCS_L1000_Chem_Pert_up,49,LJP008 A549 24H-CGK-733-10,0.005152359193112928,0.5222178353354567,MME;MAP1B;PDGFA,
sarcomatoid urothelial carcinoma,mimicry (control),LINCS_L1000_Chem_Pert_up,50,CPC013 NPC 24H-BRD-K76236182-10.0,0.005152359193112928,0.5222178353354567,CTSL1;P4HA2;ARFGAP1,
sarcomatoid urothelial carcinoma,mimicry (control),LINCS_L1000_Chem_Pert_up,51,LJP006 HT29 24H-GSK-2126458-10,0.005272384675451892,0.5222178353354567,CTSL1;P4HA2;MAP1B;PDGFA,
sarcomatoid urothelial carcinoma,mimicry (control),LINCS_L1000_Chem_Pert_up,52,LJP008 PC3 24H-entinostat-0.04,0.005329357750061992,0.5222178353354567,MME;MAP1B;PDGFA,
sarcomatoid urothelial carcinoma,mimicry (control),LINCS_L1000_Chem_Pert_up,53,LJP006 MCF10A 3H-celastrol-1.11,0.005329357750061992,0.5222178353354567,P4HA2;COL6A2;MAP1B,
sarcomatoid urothelial carcinoma,mimicry (control),LINCS_L1000_Chem_Pert_up,54,LJP007 HT29 24H-dacomitinib-10,0.005329357750061992,0.5222178353354567,CTSL1;G6PD;P4HA2,
sarcomatoid urothelial carcinoma,mimicry (control),LINCS_L1000_Chem_Pert_up,55,CPC020 VCAP 24H-tizanidine hcl-10.0,0.005429511342795264,0.5222178353354567,ZKSCAN5;RENBP,
sarcomatoid urothelial carcinoma,mimicry (control),LINCS_L1000_Chem_Pert_up,56,LJP005 HCC515 24H-neratinib-1.11,0.0056942457878069695,0.5222178353354567,P4HA2;MAP1B;SLC3A2,
sarcomatoid urothelial carcinoma,mimicry (control),LINCS_L1000_Chem_Pert_up,57,LJP008 HEPG2 24H-MK-1775-1.11,0.005882174788802779,0.5222178353354567,MME;MAP1B;PDGFA,
sarcomatoid urothelial carcinoma,mimicry (control),LINCS_L1000_Chem_Pert_up,58,LJP006 BT20 24H-QL-XII-47-0.12,0.006228876382236179,0.5222178353354567,SLC43A3;COL6A2;MAP1B;SLC3A2,
sarcomatoid urothelial carcinoma,mimicry (control),LINCS_L1000_Chem_Pert_up,59,CPC009 PC3 24H-BRD-K14939371-10.0,0.006280312461061223,0.5222178353354567,P4HA2;LST1,
sarcomatoid urothelial carcinoma,mimicry (control),LINCS_L1000_Chem_Pert_up,60,LJP009 HA1E 24H-KIN001-220-10,0.0064681295604808705,0.5222178353354567,MME;PDGFA;SLC3A2,
SCBC ASCL1+,reversal,LINCS_L1000_Chem_Pert_down,1,LJP007 PC3 24H-DCC-2036-10,5.331711829759195e-07,0.0025985645231603855,ALCAM;TSPAN8;GDF15;CEACAM5;KRT15;TFF3;HOXB7,
SCBC ASCL1+,reversal,LINCS_L1000_Chem_Pert_down,2,LJP005 MDAMB231 3H-PD-184352-0.04,5.50498164256854e-07,0.0025985645231603855,DDC;ALCAM;CLDN3;GCH1;KRT15;ETS2,
SCBC ASCL1+,reversal,LINCS_L1000_Chem_Pert_down,3,LJP005 SKBR3 3H-TG-101348-3.33,6.653886624685179e-07,0.0025985645231603855,ALCAM;CLDN3;CEACAM5;KRT15;KIAA1324;TFF3;AGR2;DNAJC12,
SCBC ASCL1+,reversal,LINCS_L1000_Chem_Pert_down,4,LJP005 SKBR3 24H-CGP-60474-3.33,1.2468168007108093e-06,0.0036519264092819605,ALCAM;TSPAN8;GCH1;CEACAM5;TFF3;DNAJC12;SPINT2;ETS2,
SCBC ASCL1+,reversal,LINCS_L1000_Chem_Pert_down,5,LJP005 SKBR3 24H-dovitinib-10,2.816985372333226e-06,0.006600760124451215,NPDC1;TSPAN13;KRT15;SCNN1A;KIAA1324;NR2F1;TFF3;AGR2,
SCBC ASCL1+,reversal,LINCS_L1000_Chem_Pert_down,6,LJP006 PC3 24H-radicicol-0.12,6.93327007795315e-06,0.013538365372216518,DDC;TSPAN8;CEACAM5;AGR2;TFF3,
SCBC ASCL1+,reversal,LINCS_L1000_Chem_Pert_down,7,LJP005 MCF10A 3H-geldanamycin-1.11,1.0401275737803092e-05,0.0169754638429033,RGS17;TSPAN8;GDF15;CEACAM5;TFF3;ETS2,
SCBC ASCL1+,reversal,LINCS_L1000_Chem_Pert_down,8,LJP005 BT20 3H-trametinib-10,1.2720877099784295e-05,0.0169754638429033,TSPAN13;GCH1;CEACAM5;SCNN1A;TFF3,
SCBC ASCL1+,reversal,LINCS_L1000_Chem_Pert_down,9,LJP008 MCF7 24H-azacitidine-10,1.3429384470149625e-05,0.0169754638429033,ALCAM;CLDN3;TSPAN13;SCNN1A;NR2F1;AGR2;DNAJC12,azacitidine
SCBC ASCL1+,reversal,LINCS_L1000_Chem_Pert_down,10,LJP005 SKBR3 24H-mitoxantrone-1.11,1.5344885036126882e-05,0.0169754638429033,NPDC1;ALCAM;TSPAN13;TFF3;AGR2;HOXB6,
SCBC ASCL1+,reversal,LINCS_L1000_Chem_Pert_down,11,LJP005 A549 24H-withaferin-a-0.04,1.593804218777196e-05,0.0169754638429033,TSPAN8;SYT1;GDF15;NR2F1;TFF3;AGR2;KIAA1199,
SCBC ASCL1+,reversal,LINCS_L1000_Chem_Pert_down,12,LJP006 HS578T 24H-PHA-793887-0.37,1.9122220962752528e-05,0.01866966173330072,SYT1;CEACAM5;TBC1D8;TFF3;KIAA1199;HOXB7,
SCBC ASCL1+,reversal,LINCS_L1000_Chem_Pert_down,13,LJP008 A549 24H-azacitidine-3.33,2.8829726098755287e-05,0.02308295527328473,TSPAN13;BAMBI;ID2;AGR2,azacitidine
SCBC ASCL1+,reversal,LINCS_L1000_Chem_Pert_down,14,LJP006 A549 24H-JNK-9L-0.37,2.8922808714264733e-05,0.02308295527328473,CLDN3;SYT1;BAMBI;ID2;NR2F1;DNAJC12,
SCBC ASCL1+,reversal,LINCS_L1000_Chem_Pert_down,15,LJP006 HS578T 24H-QL-XII-47-3.33,2.9553117881467303e-05,0.02308295527328473,TSPAN13;TNNT1;CEACAM5;NKX2-1;DNAJC12;FRY;ASCL1;NUCB2,
SCBC ASCL1+,reversal,LINCS_L1000_Chem_Pert_down,16,LJP009 A549 24H-ON-01910-3.33,3.1982282994140274e-05,0.023419026722459216,TSPAN8;BAMBI;CEACAM5;AGR2;DNAJC12,
SCBC ASCL1+,reversal,LINCS_L1000_Chem_Pert_down,17,LJP006 LNCAP 24H-A443654-1.11,3.676423640310218e-05,0.024957894302496984,ALCAM;TSPAN13;TSPAN8;SYT1;TFF3;SPINT2;ETS2,
SCBC ASCL1+,reversal,LINCS_L1000_Chem_Pert_down,18,LJP008 HT29 24H-I-BET-1.11,3.8344323783283175e-05,0.024957894302496984,TSPAN8;CEACAM5;KIAA1199;HOXB7;ETS2,
SCBC ASCL1+,reversal,LINCS_L1000_Chem_Pert_down,19,LJP005 SKBR3 24H-GSK-690693-10,4.564496620072376e-05,0.028146127579351556,DDC;TSPAN13;PERP;SPINT2;KIAA1199,
SCBC ASCL1+,reversal,LINCS_L1000_Chem_Pert_down,20,LJP005 SKBR3 24H-CGP-60474-0.12,5.713632897628446e-05,0.03347046151430744,ALCAM;CLDN3;TSPAN13;DNAJC12;SPINT2;ETS2,
SCBC ASCL1+,reversal,LINCS_L1000_Chem_Pert_down,21,LJP009 PC3 24H-ON-01910-1.11,6.0520794465711313e-05,0.0337648394266797,TSPAN13;TSPAN8;SYT1;SCNN1A;TFF3;AGR2,
SCBC ASCL1+,reversal,LINCS_L1000_Chem_Pert_down,22,LJP005 MCF10A 3H-geldanamycin-0.04,6.343692368872495e-05,0.033783045360777336,GDF15;CEACAM5;TFF3;FRY;ETS2,
SCBC ASCL1+,reversal,LINCS_L1000_Chem_Pert_down,23,LJP005 BT20 3H-trametinib-3.33,7.601048278474527e-05,0.03861142128983076,ALCAM;GDF15;CEACAM5;DNAJC12,
SCBC ASCL1+,reversal,LINCS_L1000_Chem_Pert_down,24,LJP009 PC3 24H-ON-01910-10,7.996666752292113e-05,0.03861142128983076,TSPAN8;SYT1;PERP;SCNN1A;AGR2,
SCBC ASCL1+,reversal,LINCS_L1000_Chem_Pert_down,25,LJP006 A549 24H-ZSTK-474-0.12,8.56859810119153e-05,0.03861142128983076,DDC;AGR2;TFF3;KIAA1199,
SCBC ASCL1+,reversal,LINCS_L1000_Chem_Pert_down,26,LJP006 LNCAP 3H-GSK-2126458-0.04,8.56859810119153e-05,0.03861142128983076,DDC;GDF15;SCNN1A;AGR2,
SCBC ASCL1+,reversal,LINCS_L1000_Chem_Pert_down,27,LJP005 A549 24H-pelitinib-10,9.765901457120716e-05,0.04237677832282456,ALCAM;TSPAN13;BAMBI;NR2F1;AGR2;SNCAIP;ETS2,
SCBC ASCL1+,reversal,LINCS_L1000_Chem_Pert_down,28,LJP006 MCF10A 3H-WYE-125132-1.11,0.00010767804833393148,0.045055571938583616,NPDC1;CEACAM5;AGR2;NR2F1,
SCBC ASCL1+,reversal,LINCS_L1000_Chem_Pert_down,29,LJP006 HS578T 3H-JW-7-24-1-0.04,0.00012008668954181015,0.0485150225748913,PTPRN2;SYT1;ICA1;SPINT2,
SCBC ASCL1+,reversal,LINCS_L1000_Chem_Pert_down,30,LJP006 LNCAP 3H-AZD-8055-1.11,0.00013349958031227477,0.05213603609795371,CEACAM5;TFF3;KIAA1199;ETS2,
SCBC ASCL1+,reversal,LINCS_L1000_Chem_Pert_down,31,LJP006 MCF7 24H-afatinib-10,0.0001772810225656355,0.06418032498188508,ALCAM;TSPAN13;BAMBI;NR2F1;AGR2;DNAJC12,
SCBC ASCL1+,reversal,LINCS_L1000_Chem_Pert_down,32,LJP006 A549 24H-PHA-793887-10,0.00018044014188925826,0.06418032498188508,ALCAM;TSPAN13;SYT1;ID2;CEACAM5;AGR2;HOXB7,
SCBC ASCL1+,reversal,LINCS_L1000_Chem_Pert_down,33,LJP005 MDAMB231 3H-AZD-8330-1.11,0.00018136079643140754,0.06418032498188508,GDF15;PERP;TFF3;ASCL1;ETS2,
SCBC ASCL1+,reversal,LINCS_L1000_Chem_Pert_down,34,LJP005 MCF7 24H-neratinib-1.11,0.00019815615020286602,0.06418032498188508,GCH1;CEACAM5;AGR2;KIAA1199,
SCBC ASCL1+,reversal,LINCS_L1000_Chem_Pert_down,35,LJP005 SKBR3 24H-CP466722-3.33,0.00019815615020286602,0.06418032498188508,TSPAN8;CEACAM5;ID2;RIPK4,
SCBC ASCL1+,reversal,LINCS_L1000_Chem_Pert_down,36,LJP008 MCF7 24H-MK-1775-0.04,0.00020361244604167337,0.06418032498188508,DDC;CEACAM5;AGR2,
SCBC ASCL1+,reversal,LINCS_L1000_Chem_Pert_down,37,LJP005 A549 24H-trametinib-3.33,0.0002081642496851855,0.06418032498188508,TSPAN13;GCA;SYT1;TSPAN8;GDF15;TFF3;AGR2,
SCBC ASCL1+,reversal,LINCS_L1000_Chem_Pert_down,38,LJP005 PC3 24H-LDN-193189-10,0.0002081642496851855,0.06418032498188508,ALCAM;TSPAN13;TSPAN8;PERP;NR2F1;AGR2;HOXB7,
SCBC ASCL1+,reversal,LINCS_L1000_Chem_Pert_down,39,LJP007 MCF7 24H-motesanib-10,0.00021731712578879178,0.06528429348055088,TSPAN13;AGR2;TFF3;ASCL1,
SCBC ASCL1+,reversal,LINCS_L1000_Chem_Pert_down,40,LJP007 MCF7 24H-dacomitinib-10,0.00023084974242653148,0.06761588955673106,TSPAN13;TSPAN8;AGR2;NR2F1;DNAJC12,
SCBC ASCL1+,reversal,LINCS_L1000_Chem_Pert_down,41,LJP007 PC3 24H-OTSSP167-1.11,0.0002591443847921399,0.07014115384082557,GDF15;CEACAM5;KRT15;TBC1D8;TFF3,
SCBC ASCL1+,reversal,LINCS_L1000_Chem_Pert_down,42,LJP006 MCF7 3H-KIN001-043-1.11,0.0002595862739738116,0.07014115384082557,PTPRN2;TFF3;ASCL1;HOXB7,
SCBC ASCL1+,reversal,LINCS_L1000_Chem_Pert_down,43,LJP006 SKBR3 24H-nintedanib-3.33,0.0002595862739738116,0.07014115384082557,GDF15;BAMBI;KRT15;NR2F1,
SCBC ASCL1+,reversal,LINCS_L1000_Chem_Pert_down,44,LJP008 HEPG2 24H-azacitidine-10,0.00026341846782146854,0.07014115384082557,AKR7A3;ALCAM;TSPAN13;GCH1;TNNT1;ID2,azacitidine
SCBC ASCL1+,reversal,LINCS_L1000_Chem_Pert_down,45,CPC001 VCAP 24H-sdz 21009-10.0,0.00028723056705748764,0.07228998249901612,NPDC1;HOXB8;NR0B2,
SCBC ASCL1+,reversal,LINCS_L1000_Chem_Pert_down,46,LJP005 HS578T 3H-GSK-690693-3.33,0.00028723056705748764,0.07228998249901612,TSPAN13;GCH1;ETS2,
SCBC ASCL1+,reversal,LINCS_L1000_Chem_Pert_down,47,LJP006 HME1 3H-AS-605240-3.33,0.00028999907625928284,0.07228998249901612,DDC;ALCAM;PRR15L;SCNN1A;ASCL1,
SCBC ASCL1+,reversal,LINCS_L1000_Chem_Pert_down,48,LJP009 HA1E 24H-ON-01910-10,0.0003064330442735013,0.07407319500852813,DDC;CALCA;CEACAM5;ID2;TFF3,
SCBC ASCL1+,reversal,LINCS_L1000_Chem_Pert_down,49,LJP007 PC3 24H-dinaciclib-1.11,0.00032356340028170174,0.07407319500852813,GDF15;CEACAM5;KRT15;TBC1D8;HOXB7,
SCBC ASCL1+,reversal,LINCS_L1000_Chem_Pert_down,50,LJP006 SKBR3 24H-JNK-9L-1.11,0.0003237965850117989,0.07407319500852813,ALCAM;TSPAN13;TSPAN8;ID2;KRT15;ETS2,
SCBC ASCL1+,reversal,LINCS_L1000_Chem_Pert_down,51,LJP005 MCF10A 3H-radicicol-0.12,0.00033362703085426025,0.07407319500852813,GDF15;SCNN1A;TFF3;KIAA1199,
SCBC ASCL1+,reversal,LINCS_L1000_Chem_Pert_down,52,LJP005 MCF7 24H-AS-601245-0.37,0.00033362703085426025,0.07407319500852813,ALCAM;AGR2;TFF3;DNAJC12,
SCBC ASCL1+,reversal,LINCS_L1000_Chem_Pert_down,53,LJP006 BT20 3H-GSK-2126458-0.12,0.0003362160284323273,0.07407319500852813,ALCAM;CEACAM5;TFF3,
SCBC ASCL1+,reversal,LINCS_L1000_Chem_Pert_down,54,LJP009 PC3 24H-ON-01910-0.37,0.00034140940000516553,0.07407319500852813,TSPAN13;SYT1;SCNN1A;AGR2;DNAJC12,
SCBC ASCL1+,reversal,LINCS_L1000_Chem_Pert_down,55,LJP005 SKBR3 3H-geldanamycin-0.04,0.0003613516402022837,0.07559992529660636,GCH1;TFF3;DNAJC12;HOXB6,
SCBC ASCL1+,reversal,LINCS_L1000_Chem_Pert_down,56,LJP006 SKBR3 3H-XMD-1150-1.11,0.0003613516402022837,0.07559992529660636,ALCAM;TSPAN8;TFF3;AGR2,
SCBC ASCL1+,reversal,LINCS_L1000_Chem_Pert_down,57,LJP005 SKBR3 24H-PF-431396-10,0.00037932643240787245,0.0779682189840462,ALCAM;TSPAN8;GCH1;CEACAM5;SPINT2,
SCBC ASCL1+,reversal,LINCS_L1000_Chem_Pert_down,58,LJP009 MCF7 24H-saracatinib-1.11,0.00042168324511810816,0.08373628643735177,TSPAN8;SYT1;AGR2;ASCL1,
SCBC ASCL1+,reversal,LINCS_L1000_Chem_Pert_down,59,LJP005 MDAMB231 3H-SB590885-1.11,0.00042168324511810816,0.08373628643735177,ALCAM;GDF15;SCNN1A;ASCL1,
SCBC ASCL1+,reversal,LINCS_L1000_Chem_Pert_down,60,LJP006 LNCAP 3H-GDC-0941-3.33,0.0004543965700203513,0.08822659306363967,ALCAM;PRR15L;CEACAM5;AGR2,
SCBC ASCL1+,mimicry (control),LINCS_L1000_Chem_Pert_up,1,LJP007 MCF7 24H-AT7867-3.33,5.01232137178698e-08,0.0007531514093247117,DDC;TSPAN8;GDF15;CEACAM5;AGR2;TFF3,
SCBC ASCL1+,mimicry (control),LINCS_L1000_Chem_Pert_up,2,LJP006 SKBR3 24H-afatinib-1.11,1.4325071529123562e-07,0.0010634054668547475,TNNT1;GDF15;CEACAM5;SCNN1A;KIAA1324;TFF3;AGR2,
SCBC ASCL1+,mimicry (control),LINCS_L1000_Chem_Pert_up,3,LJP006 A549 24H-dasatinib-0.12,2.2272457658385092e-07,0.0010634054668547475,TSPAN13;PERP;CEACAM5;AGR2;TFF3;DNAJC12,
SCBC ASCL1+,mimicry (control),LINCS_L1000_Chem_Pert_up,4,LJP006 SKBR3 24H-canertinib-3.33,2.830841120337408e-07,0.0010634054668547475,SYT1;SCNN1A;KIAA1324;TFF3;AGR2;KIAA1199;ASCL1;NUCB2,
SCBC ASCL1+,mimicry (control),LINCS_L1000_Chem_Pert_up,5,LJP006 SKBR3 24H-saracatinib-10,5.331711829759195e-07,0.0011109033380279946,CEACAM5;SCNN1A;KIAA1324;TFF3;AGR2;DNAJC12;NUCB2,
SCBC ASCL1+,mimicry (control),LINCS_L1000_Chem_Pert_up,6,LJP006 SKBR3 24H-PI-103-10,5.559631841214492e-07,0.0011109033380279946,GDF15;TNNT1;CEACAM5;SCNN1A;KIAA1324;TFF3;AGR2;DNAJC12;ITPR3,
SCBC ASCL1+,mimicry (control),LINCS_L1000_Chem_Pert_up,7,LJP005 SKBR3 24H-dasatinib-10,6.653886624685179e-07,0.0011109033380279946,AMACR;ID2;SCNN1A;KIAA1324;TFF3;AGR2;DNAJC12;NUCB2,
SCBC ASCL1+,mimicry (control),LINCS_L1000_Chem_Pert_up,8,LJP006 HT29 24H-geldanamycin-10,6.653886624685179e-07,0.0011109033380279946,ALCAM;CLDN3;TNNT1;CEACAM5;TFF3;AGR2;RAB17;NUCB2,
SCBC ASCL1+,mimicry (control),LINCS_L1000_Chem_Pert_up,9,LJP007 MCF7 24H-tivozanib-10,6.653886624685179e-07,0.0011109033380279946,CLDN3;TNNT1;GDF15;PERP;KRT15;SCNN1A;AGR2;SPINT2,
SCBC ASCL1+,mimicry (control),LINCS_L1000_Chem_Pert_up,10,LJP006 SKBR3 24H-lapatinib-10,7.689270735613553e-07,0.0011245981869283182,ALCAM;CLDN3;SCNN1A;KIAA1324;TFF3;AGR2;DNAJC12;NUCB2,
SCBC ASCL1+,mimicry (control),LINCS_L1000_Chem_Pert_up,11,LJP005 HEPG2 24H-NVP-AEW541-1.11,8.232783213238054e-07,0.0011245981869283182,ALCAM;TSPAN13;SCNN1A;ICA1;NKX2-1;ASCL1,
SCBC ASCL1+,mimicry (control),LINCS_L1000_Chem_Pert_up,12,LJP005 MCF7 3H-CP466722-0.12,9.394799787456235e-07,0.0011763855133859783,PTPRN2;TSPAN8;SYT1;CEACAM5;KRT15;TFF3;AGR2,
