candidate,disease,p0,p1,design,required_n,incidence_arm,us_cases_per_year,trial_eligible_per_year,capture_fraction,accrued_per_year,years_to_accrue
CXCR1/CXCR2 antagonist,renal medullary carcinoma,0.1,0.3,A'Hern,25,SEER-derived x2 (under-ascertainment),31.3,15.6,0.25,3.91,6.4
CXCR1/CXCR2 antagonist,renal medullary carcinoma,0.1,0.3,Simon minimax,25,SEER-derived x2 (under-ascertainment),31.3,15.6,0.25,3.91,6.4
CXCR1/CXCR2 antagonist,renal medullary carcinoma,0.1,0.3,Simon optimal,29,SEER-derived x2 (under-ascertainment),31.3,15.6,0.25,3.91,7.4
CXCR1/CXCR2 antagonist,renal medullary carcinoma,0.15,0.35,A'Hern,28,SEER-derived (Haupt 2023),15.6,7.8,0.05,0.39,71.6
CXCR1/CXCR2 antagonist,renal medullary carcinoma,0.15,0.35,Simon minimax,28,SEER-derived (Haupt 2023),15.6,7.8,0.05,0.39,71.6
CXCR1/CXCR2 antagonist,renal medullary carcinoma,0.15,0.35,Simon optimal,34,SEER-derived (Haupt 2023),15.6,7.8,0.05,0.39,87.0
CXCR1/CXCR2 antagonist,renal medullary carcinoma,0.15,0.35,A'Hern,28,SEER-derived (Haupt 2023),15.6,7.8,0.1,0.78,35.8
CXCR1/CXCR2 antagonist,renal medullary carcinoma,0.15,0.35,Simon minimax,28,SEER-derived (Haupt 2023),15.6,7.8,0.1,0.78,35.8
CXCR1/CXCR2 antagonist,renal medullary carcinoma,0.15,0.35,Simon optimal,34,SEER-derived (Haupt 2023),15.6,7.8,0.1,0.78,43.5
CXCR1/CXCR2 antagonist,renal medullary carcinoma,0.15,0.35,A'Hern,28,SEER-derived (Haupt 2023),15.6,7.8,0.25,1.95,14.3
CXCR1/CXCR2 antagonist,renal medullary carcinoma,0.15,0.35,Simon minimax,28,SEER-derived (Haupt 2023),15.6,7.8,0.25,1.95,14.3
CXCR1/CXCR2 antagonist,renal medullary carcinoma,0.15,0.35,Simon optimal,34,SEER-derived (Haupt 2023),15.6,7.8,0.25,1.95,17.4
CXCR1/CXCR2 antagonist,renal medullary carcinoma,0.15,0.35,A'Hern,28,SEER-derived x2 (under-ascertainment),31.3,15.6,0.05,0.78,35.8
CXCR1/CXCR2 antagonist,renal medullary carcinoma,0.15,0.35,Simon minimax,28,SEER-derived x2 (under-ascertainment),31.3,15.6,0.05,0.78,35.8
CXCR1/CXCR2 antagonist,renal medullary carcinoma,0.15,0.35,Simon optimal,34,SEER-derived x2 (under-ascertainment),31.3,15.6,0.05,0.78,43.5
CXCR1/CXCR2 antagonist,renal medullary carcinoma,0.15,0.35,A'Hern,28,SEER-derived x2 (under-ascertainment),31.3,15.6,0.1,1.56,17.9
CXCR1/CXCR2 antagonist,renal medullary carcinoma,0.15,0.35,Simon minimax,28,SEER-derived x2 (under-ascertainment),31.3,15.6,0.1,1.56,17.9
CXCR1/CXCR2 antagonist,renal medullary carcinoma,0.15,0.35,Simon optimal,34,SEER-derived x2 (under-ascertainment),31.3,15.6,0.1,1.56,21.7
CXCR1/CXCR2 antagonist,renal medullary carcinoma,0.15,0.35,A'Hern,28,SEER-derived x2 (under-ascertainment),31.3,15.6,0.25,3.91,7.2
CXCR1/CXCR2 antagonist,renal medullary carcinoma,0.15,0.35,Simon minimax,28,SEER-derived x2 (under-ascertainment),31.3,15.6,0.25,3.91,7.2
CXCR1/CXCR2 antagonist,renal medullary carcinoma,0.15,0.35,Simon optimal,34,SEER-derived x2 (under-ascertainment),31.3,15.6,0.25,3.91,8.7
177Lu-DOTATATE,NEUROD1+ small-cell bladder cancer,0.05,0.25,A'Hern,16,IR 0.7/million (Dores 2015),234.5,26.6,0.05,1.33,12.0
177Lu-DOTATATE,NEUROD1+ small-cell bladder cancer,0.05,0.25,Simon minimax,16,IR 0.7/million (Dores 2015),234.5,26.6,0.05,1.33,12.0
177Lu-DOTATATE,NEUROD1+ small-cell bladder cancer,0.05,0.25,Simon optimal,17,IR 0.7/million (Dores 2015),234.5,26.6,0.05,1.33,12.8
177Lu-DOTATATE,NEUROD1+ small-cell bladder cancer,0.05,0.25,A'Hern,16,IR 0.7/million (Dores 2015),234.5,26.6,0.1,2.66,6.0
177Lu-DOTATATE,NEUROD1+ small-cell bladder cancer,0.05,0.25,Simon minimax,16,IR 0.7/million (Dores 2015),234.5,26.6,0.1,2.66,6.0
