context,pathway,overlap_k,pathway_size_K,de_set_size_n,pvalue,overlap_genes,qvalue_BH
SarcUC,PI3K_AKT_signaling,4,362,85,0.0684157253092684,COL6A2; CSF1; PDGFA; PPP2R3B,0.6157415277834156
SarcUC,p53_signaling,0,75,85,1.0,,1.0
SarcUC,Chemokine_signaling,0,193,85,1.0,,1.0
SarcUC,Cytokine_receptor_interaction,1,298,85,0.7216115323755437,CSF1,1.0
SarcUC,Antigen_processing_presentation,0,82,85,1.0,,1.0
SarcUC,PDL1_PD1_checkpoint,1,90,85,0.3189859772907029,LAT,0.936155570535725
SarcUC,Pentose_phosphate_pathway,1,31,85,0.1237730094651933,G6PD,0.6536855657198615
SarcUC,Arachidonic_acid_metabolism,0,63,85,1.0,,1.0
SarcUC,Neuroactive_ligand_receptor,0,371,85,1.0,,1.0
SarcUC,Prostate_cancer,1,106,85,0.3640604996527819,PDGFA,0.936155570535725
SarcUC,Bladder_cancer,0,41,85,1.0,,1.0
SarcUC,Renal_cell_carcinoma,1,70,85,0.2581814161909471,FLCN,0.9294530982874095
SarcUC,Epigenetic_Regulation,3,94,85,0.0075197812929571,PHC2; UHRF1; WHSC1,0.1353560632732278
SCBC_ASCL1,Cell_Cycle,0,158,138,1.0,,1.0
SCBC_ASCL1,Apoptosis,2,137,138,0.2439775312138987,ITPR3; MAPK10,1.0
SCBC_ASCL1,HIF1_signaling,0,110,138,1.0,,1.0
SCBC_ASCL1,VEGF_signaling,0,60,138,1.0,,1.0
SCBC_ASCL1,Homologous_Recombination,0,41,138,1.0,,1.0
SCBC_ASCL1,PI3K_AKT_signaling,1,362,138,0.9202959430376052,KITLG,1.0
SCBC_ASCL1,p53_signaling,1,75,138,0.4056340466963123,PERP,1.0
SCBC_ASCL1,Chemokine_signaling,0,193,138,1.0,,1.0
SCBC_ASCL1,Cytokine_receptor_interaction,1,298,138,0.8749266318111923,GDF15,1.0
SCBC_ASCL1,Antigen_processing_presentation,0,82,138,1.0,,1.0
SCBC_ASCL1,PDL1_PD1_checkpoint,0,90,138,1.0,,1.0
SCBC_ASCL1,Pentose_phosphate_pathway,0,31,138,1.0,,1.0
SCBC_ASCL1,Arachidonic_acid_metabolism,0,63,138,1.0,,1.0
SCBC_ASCL1,Neuroactive_ligand_receptor,2,371,138,0.7287232512256558,CALCA; NMUR2,1.0
SCBC_ASCL1,Prostate_cancer,0,106,138,1.0,,1.0
SCBC_ASCL1,Bladder_cancer,0,41,138,1.0,,1.0
SCBC_ASCL1,Renal_cell_carcinoma,0,70,138,1.0,,1.0
SCBC_ASCL1,Epigenetic_Regulation,0,94,138,1.0,,1.0
