legacy_symbol,current_symbol,source
3OST4,HS3ST4,alias_symbol
3PAP,MTMR12,alias_symbol
3PK,MAPKAPK3,alias_symbol
4-1BB,TNFRSF9,alias_symbol
4-1BB-L,TNFSF9,alias_symbol
4-1BBL,TNFSF9,alias_symbol
4-1BBLRR,LRR1,alias_symbol
4-HPPD,HPD,alias_symbol
4-HPPD-L,HPDL,alias_symbol
4.1-G,EPB41L2,alias_symbol
4.1B,EPB41L3,alias_symbol
4.1G,EPB41L2,alias_symbol
4.1N,EPB41L1,alias_symbol
4.1R,EPB41,alias_symbol
42A,S100A4,alias_symbol
42C,S100A10,alias_symbol
47.11,KIR2DL1,alias_symbol
4832404P21RIK,ZSWIM8,alias_symbol
4833431A01RIK,THAP1,alias_symbol
4930513O09RIK,ZCCHC13,alias_symbol
4933409D10RIK,ZNF474,alias_symbol
4E-BP1,EIF4EBP1,alias_symbol
4E-BP3,EIF4EBP3,alias_symbol
4E-T,EIF4ENIF1,alias_symbol
4EHP,EIF4E2,alias_symbol
4F-SE9[6:7:8],CYP4F30P,alias_symbol
4F2,SLC3A2,alias_symbol
4F2HC,SLC3A2,alias_symbol
4F5,SERF1A,alias_symbol
4F5REL,SERF2,alias_symbol
4HPPD,HPD,alias_symbol
4P11,CRYZL1,alias_symbol
4T2HC,SLC3A2,alias_symbol
5'AHIF-1A,HIF1A-AS1,alias_symbol
5'OY11.1,ZNF280B,alias_symbol
5-HT(2B),HTR2B,alias_symbol
5-HT1A,HTR1A,alias_symbol
5-HT1B,HTR1B,alias_symbol
5-HT1D,HTR1D,alias_symbol
5-HT1DB,HTR1B,alias_symbol
5-HT1E,HTR1E,alias_symbol
5-HT1F,HTR1F,alias_symbol
5-HT2A,HTR2A,alias_symbol
5-HT2B,HTR2B,alias_symbol
5-HT2C,HTR2C,alias_symbol
5-HT3A,HTR3A,alias_symbol
5-HT3B,HTR3B,alias_symbol
5-HT3C2,HTR3C2P,alias_symbol
5-HT3R,HTR3A,alias_symbol
5-HT4,HTR4,alias_symbol
5-HT5A,HTR5A,alias_symbol
5-HT5B,HTR5BP,alias_symbol
5-HT6,HTR6,alias_symbol
5-HT6R,HTR6,alias_symbol
5-HT7,HTR7,alias_symbol
5-HTT,SLC6A4,alias_symbol
5-LOX,ALOX5,alias_symbol
5-OPASE,OPLAH,alias_symbol
51A,SORL1-AS1,alias_symbol
52,SCARNA10,alias_symbol
53BP1,TP53BP1,alias_symbol
53BP2,TP53BP2,alias_symbol
54TM,YIF1A,alias_symbol
59-DAP,SNTB1,alias_symbol
59K,PDCD7,alias_symbol
5HTR2C,HTR2C,alias_symbol
5MP1,BZW2,alias_symbol
5MP2,BZW1,alias_symbol
5PTASE,INPP5A,alias_symbol
5T4,TPBG,alias_symbol
5T4-AG,TPBG,alias_symbol
6-16,IFI6,alias_symbol
6.3,PLXNA3,alias_symbol
6.8PL,ATP5MJ,alias_symbol
60B8AG,S100A8,alias_symbol
60H,HMGN2P12,alias_symbol
64KD,LMOD1,alias_symbol
6530404F10RIK,KCTD18,alias_symbol
6530406P05RIK,GPR165P,alias_symbol
66CTG,CDKN2B-AS1,alias_symbol
6A3-5,ARID1B,alias_symbol
6C6-AG,BCAP31,alias_symbol
6CKINE,CCL21,alias_symbol
6PGL,PGLS,alias_symbol
7-60,OGFR,alias_symbol
71-7A,OFD1,alias_symbol
71-7A2,OFD1P18Y,alias_symbol
71-7A3,OFD1P17,alias_symbol
71-7A5,OFD1P17,alias_symbol
721P,AKAP17A,alias_symbol
753P9,SASH3,alias_symbol
76P,TUBGCP4,alias_symbol
7A5,MACC1,alias_symbol
7B2,SCG5,alias_symbol
7B4,CDH5,alias_symbol
7H3,SYDE1,alias_symbol
7L1A,RN7SL1,alias_symbol
7L23,RN7SL7P,alias_symbol
7L28,RN7SL4P,alias_symbol
7L30.1,RN7SL2,alias_symbol
7L30.2,RN7SL3,alias_symbol
7L63,RN7SL8P,alias_symbol
7L7,RN7SL6P,alias_symbol
7LEM1,RN7SL5P,alias_symbol
7SK,RN7SK,alias_symbol
7SL,RN7SL1,alias_symbol
7SL1C,RN7SL2,alias_symbol
80K-H,PRKCSH,alias_symbol
80K-L,MARCKS,alias_symbol
82-FIP,NUFIP2,alias_symbol
