probe_id,gene,log2fc,pvalue,qvalue
ILMN_1787378,ADD3,-1.1188770760774096,4.418395033020308e-11,1.7329665004677915e-09
ILMN_2371055,EFNA1,-1.1154297870603287,3.6960603916716774e-07,4.810773864693791e-06
ILMN_1766914,MFAP4,-1.1078060307790034,4.9695403371513536e-05,0.00035590001580813093
ILMN_1761858,MID1,-1.1069638358726896,1.1812892934770885e-19,4.2320409237166374e-17
ILMN_1733390,LARP1B,-1.105875134604216,5.358254707573785e-07,6.633352235330598e-06
ILMN_2327860,MAL,-1.1046082289425998,3.3572894266262194e-14,3.0724950618691105e-12
ILMN_2377174,SYPL1,-1.1037190930580962,3.048182724938761e-22,2.2386615977631497e-19
ILMN_1755004,SNORD27,-1.1036294569195633,8.17448123621086e-19,2.3314731580210336e-16
ILMN_1791890,SPON1,-1.1022594010107287,7.711052151492292e-10,2.1052748982749912e-08
ILMN_3244449,SNORD9,-1.1010111874942528,4.684387899448124e-26,1.720165791526094e-22
ILMN_1659215,CYP4B1,-1.0997585889536499,5.152008106574968e-15,6.078335025978026e-13
ILMN_1723962,LXN,-1.09781529845303,1.5199491780719466e-12,8.636662863485411e-11
ILMN_1769810,ARL6IP5,-1.0969579243919547,3.461023061337314e-13,2.3700343699978152e-11
ILMN_2320330,MAL,-1.0937014267872653,1.0336772356921338e-07,1.5790669890916437e-06
ILMN_2386973,PKP2,-1.0923677818356978,5.894529297388992e-09,1.2704591868627764e-07
ILMN_2201580,GSTM2,-1.0922347466450857,7.4884910021136e-09,1.574727273937661e-07
ILMN_1787691,CITED4,-1.0894719521221186,2.2993749656470617e-06,2.391105782860663e-05
ILMN_1677636,COMP,-1.0883544009695916,2.7470656258194945e-05,0.00021253765312009295
ILMN_2402936,LOC440926,-1.0843877014415906,1.34743019053416e-19,4.712316274681193e-17
ILMN_2387078,MPZL2,-1.083965004937462,3.392540457628305e-08,5.957122595561669e-07
ILMN_1746801,CGN,-1.0808410118009313,2.0498179930817876e-08,3.8306299734582493e-07
ILMN_1713124,AKR1C3,-1.0782564539876622,0.0002526955650880168,0.0014490411117686255
ILMN_1748093,PAFAH1B3,-1.0777231844907913,1.0720089861084781e-07,1.6308859650392936e-06
ILMN_1672589,SEMA4B,-1.0777041419820357,2.597320135868796e-11,1.083827750446273e-09
ILMN_3240002,SNORD12B,-1.0744095879400284,9.913569535402784e-15,1.059021571787373e-12
ILMN_1749792,SORBS1,-1.073905582140739,5.190856372389909e-07,6.44785571465955e-06
ILMN_2385672,ELN,-1.0721787539848258,5.429189015774589e-07,6.692962052723881e-06
ILMN_1655614,DSP,-1.0672241372155389,9.474888486427054e-06,8.395238768478849e-05
ILMN_2408566,NR4A1,-1.0667301607206445,1.1371943673176539e-07,1.7149568238547596e-06
ILMN_2413323,GRP,-1.0653833156916823,1.6894125094258456e-06,1.8212796803450668e-05
ILMN_1669928,ARHGEF16,-1.0648414623300049,3.800523872712879e-08,6.571394338357048e-07
ILMN_1808789,MYO5C,-1.0636299943969476,1.9823313599414402e-10,6.4064849682067866e-09
ILMN_1701581,LAD1,-1.0625926188931274,1.0871139039672954e-06,1.2421682285821562e-05
ILMN_1700583,ZNF750,-1.060251692401029,5.28377510686149e-07,6.554960359555321e-06
ILMN_1660306,ITGA8,-1.0601664475032475,1.3811398086324147e-11,6.238548691134907e-10
ILMN_1724799,PLA2G2F,-1.059144449367163,1.377274467672256e-13,1.0564018808566021e-11
ILMN_1801098,TSLP,-1.0552566045622775,6.309898509405367e-09,1.3520487856367722e-07
ILMN_2354515,NDUFAF3,-1.051835537651316,6.688388430639401e-12,3.269297619415868e-10
ILMN_1690524,VAMP7,-1.0514677909536765,3.5713072382746175e-14,3.2234233752610566e-12
ILMN_1662961,GRHL3,-1.0507122354414191,7.968955100243665e-11,2.890172765183434e-09
ILMN_1661804,CTF1,-1.0484151771767598,2.0815574856269818e-10,6.690362609985104e-09
ILMN_3245228,SNORA20,-1.0481973428120153,3.356377790214261e-09,7.788334150325779e-08
ILMN_1774427,CALCOCO1,-1.0477419103448362,2.2711963462293214e-14,2.1662641254278823e-12
ILMN_1808633,C20orf96,-1.047360528829011,9.378599542985171e-12,4.3732558535599264e-10
ILMN_2392261,FABP6,-1.0471763113593413,3.33310312451428e-08,5.866780736300539e-07
ILMN_1705247,ACSL5,-1.046161778957746,4.7617228609364017e-07,5.962199717331696e-06
ILMN_2312296,PCBP2,-1.0445561265899563,7.701661371528892e-12,3.672917307003316e-10
ILMN_1757631,DBNDD1,-1.042445476196943,6.977406975519534e-06,6.389503887775479e-05
ILMN_1810836,PDE5A,-1.0418058735421605,3.5121949586922427e-07,4.6040942124722e-06
ILMN_1722713,FBLN1,-1.0416863570893318,1.28044331604269e-07,1.911052281700012e-06
ILMN_1815203,HMGCS2,-1.0400883525894606,1.504542192525325e-12,8.565685269344278e-11
ILMN_2111932,SERINC2,-1.0397200404067597,5.8570995543056856e-05,0.00040941444442379706
ILMN_3308753,SNORD114-1,-1.0348287946914523,2.6456174316035863e-06,2.694878754792599e-05
ILMN_3247494,SNORA36B,-1.0342067309131489,2.781447270704867e-10,8.5948670841408e-09
ILMN_2105441,IGJ,-1.0328097030801864,3.1851652575691416e-08,5.633389510632671e-07
ILMN_1721559,FABP6,-1.0316218345479449,4.111707219359005e-08,7.034922713052387e-07
ILMN_1794863,CAMK2N1,-1.0309820749607814,3.059445959494753e-11,1.251773592647317e-09
ILMN_1801697,C19orf46,-1.0283055380065935,9.354393329802238e-11,3.3229022109987953e-09
ILMN_3242525,SNORD45A,-1.0268637736959114,1.9541887022170405e-22,1.5946722640286111e-19
ILMN_1766712,TCF21,-1.0253259932175158,9.238965312890633e-05,0.0006063741822984542
ILMN_1669718,PSENEN,-1.0222891796609375,1.9064264240139167e-23,2.333545377427368e-20
