analysis,pathway,overlap_k,pathway_size_K,de_set_size_n,universe_N,pvalue,overlap_genes,qvalue_BH
RMC219,Cytokine_receptor_interaction,18,164,857,23841,2.6735080016216188e-05,AMH; CCL2; CCL20; CXCL1; CXCL2; CXCL3; CXCL8; GDF15; IL15RA; INHBA; LIF; PPBP; RELT; TNF; TNFRSF10A; TNFRSF10D; TNFRSF12A; TNFRSF25,9.624628805837827e-05
RMC219,Antigen_processing_presentation,8,51,857,23841,0.0004362965231040455,CALR; HLA-A; HSP90AA1; HSP90AB1; HSPA5; PSME3; TAP2; TNF,0.0009816671769841024
RMC219,PDL1_PD1_checkpoint,10,77,857,23841,0.0004243380191834979,AKT1; BATF3; FOS; HRAS; JUN; MAP2K3; NFKB1; NFKBIB; NFKBIE; TICAM1,0.0009816671769841024
RMC219,Pentose_phosphate_pathway,3,28,857,23841,0.07797294323222848,ALDOA; ALDOC; PFKP,0.10796253678308558
RMC219,Arachidonic_acid_metabolism,1,41,857,23841,0.777367098942078,ALOXE3,0.8230945753504355
RMC219,Neuroactive_ligand_receptor,8,162,857,23841,0.22860787571068125,ADM; CHRNA5; EDN1; GABBR2; GRID2; HRH1; OXTR; P2RY11,0.29392441162801874
RMC219,Prostate_cancer,14,94,857,23841,6.53412068550937e-06,AKT1; CCND1; CCNE1; CCNE2; CDKN1A; E2F1; ERG; HRAS; HSP90AA1; HSP90AB1; MMP9; NFKB1; NKX3-1; SLC19A1,4.44795327597772e-05
RMC219,Bladder_cancer,10,40,857,23841,1.0873955199852839e-06,CCND1; CDKN1A; CXCL8; E2F1; HBEGF; HRAS; MMP9; MYC; RASSF1; THBS1,1.957311935973511e-05
RMC219,Renal_cell_carcinoma,7,67,857,23841,0.010134523549526877,AKT1; CDKN1A; EGLN1; ETS1; HRAS; JUN; SLC2A1,0.015201785324290314
RMC219,Epigenetic_Regulation,1,91,857,23841,0.9644846915153441,PHC2,0.9644846915153441
both lines,Cell_Cycle,3,154,187,23841,0.12098561337320168,CCND1; GADD45A; MYC,0.24197122674640337
both lines,Apoptosis,7,126,187,23841,6.280692960841604e-05,BIRC2; CYCS; FOS; GADD45A; JUN; MCL1; TNFRSF10A,0.0005652623664757444
both lines,HIF1_signaling,2,95,187,23841,0.17109510481746384,EDN1; HK2,0.27997380788312265
both lines,VEGF_signaling,0,54,187,23841,1.0,,1.0
both lines,Homologous_Recombination,0,40,187,23841,1.0,,1.0
both lines,PI3K_AKT_signaling,4,287,187,23841,0.18927452923878346,CCND1; EPHA2; MCL1; MYC,0.28391179385817517
both lines,p53_signaling,5,74,187,23841,0.0002925051681459578,ADGRB1; CCND1; CYCS; GADD45A; TNFRSF10A,0.001450772010606463
both lines,Chemokine_signaling,6,135,187,23841,0.0006992407291375124,BCAR1; CXCL1; CXCL2; CXCL3; CXCL8; NFKBIB,0.0025172666248950448
both lines,Cytokine_receptor_interaction,7,164,187,23841,0.0003223937801347696,CXCL1; CXCL2; CXCL3; CXCL8; GDF15; LIF; TNFRSF10A,0.001450772010606463
both lines,Antigen_processing_presentation,2,51,187,23841,0.06074721999859633,PSME3; TAP2,0.1562071371392477
both lines,PDL1_PD1_checkpoint,3,77,187,23841,0.022737801741479446,FOS; JUN; NFKBIB,0.06821340522443833
both lines,Pentose_phosphate_pathway,0,28,187,23841,1.0,,1.0
both lines,Arachidonic_acid_metabolism,1,41,187,23841,0.27611947867022296,ALOXE3,0.38231927815877026
both lines,Neuroactive_ligand_receptor,3,162,187,23841,0.1349620145636313,EDN1; GABBR2; OXTR,0.24293162621453632
both lines,Prostate_cancer,1,94,187,23841,0.5236780509159179,CCND1,0.6733003511776088
both lines,Bladder_cancer,5,40,187,23841,1.4818593709913922e-05,CCND1; CXCL8; HBEGF; MYC; RASSF1,0.0002667346867784506
both lines,Renal_cell_carcinoma,2,67,187,23841,0.09724499964613847,ETS1; JUN,0.21880124920381155
both lines,Epigenetic_Regulation,0,91,187,23841,1.0,,1.0
