"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"INSR",-0.637808768424395,11.3271836295687,-2.33293141406942,0.0261696266439355,0.0522768725183337,-4.57618313035707
"MLKL",0.465595198079451,10.4290090461701,1.86126046348523,0.0720126160428474,0.122271420989418,-5.4312893886928
"GAPDH",0.27899854574851,16.0452026320875,0.820474050324698,0.418079282291901,0.507297193649478,-6.81226273393031
"LATS1",-0.195413113661429,10.9458066156903,-0.740248648871673,0.464602289282173,0.551433299657725,-6.85669676124287
"NLK",1.19032469444959,8.25555726512995,3.60403547589711,0.00106045375201552,0.00343418466712312,-1.39991295126775
"CSNK1D",0.0766838194884397,13.1170677380222,0.291151560859554,0.772833910445547,0.83132118413364,-7.12179825503277
"DDR2",-3.65122472698953,10.4049979498901,-7.51777183463201,1.56779964061332e-08,2.6436345664135e-07,9.44091143058127
"IRAK3",-1.43652507350515,7.44205490304302,-2.68683040852248,0.0113922674119132,0.0262774470020074,-3.560140162846
"IRAK2",0.970216720531979,8.74674040300114,2.04689810438199,0.0490425514215915,0.0875248454202856,-4.99427412023322
"DYRK3",0.124023411886955,7.82471001304417,0.304587804587143,0.762672834477016,0.826933516761111,-6.85249922268427
"PIM2",0.332104334051297,8.98142573456616,0.846161111653094,0.40381165251692,0.49579721972974,-6.64620957094126
"RPS6KA1",2.63870420919651,8.83604585559786,5.76788169164584,2.20674746354225e-06,2.03603681070219e-05,4.62009701264699
"PAK7",-0.682589950357608,2.89070223290437,-1.481496641707,0.148356890910556,0.220506138769793,-5.49888176157512
"GSK3B",0.394787061513995,11.9363160944585,1.42409662813246,0.164198248699958,0.240049262759469,-6.14156619182568
"PAK6",3.22457422726376,7.60561723556412,4.31345356015736,0.000146557302154301,0.00057795581252785,0.580991449800295
"IRAK4",0.119948851128849,9.30918487251864,0.433386883342522,0.667671607669131,0.743716209909351,-6.95864625107391
"GAK",0.302003345704667,10.7930871638776,1.16112244918164,0.254269891008588,0.337874936693477,-6.45868916206185
"PSKH1",0.0194794128994479,8.40822704971321,0.0644265086465361,0.949035600371075,0.967276611584037,-6.98311838133712
"STK38L",-0.656284707665566,11.8714426736247,-2.0875717839476,0.0449692413912151,0.0820520859712843,-5.07182812509146
"PRKAA1",0.0570749249664201,11.6109266340219,0.212277790186117,0.833250762995469,0.880042382515733,-7.12659630605515
"ACVRL1",-1.19672884617283,9.39621474319981,-3.51358261908289,0.00135515468065525,0.00411596670087216,-1.72778487025779
"TRIM24",1.31847842594174,10.2645314067855,4.56686259303227,7.10500234509213e-05,0.000319410814722729,1.10205503746166
"CHEK2",2.44526432131654,8.45753243671285,7.40507623902147,2.13732857110926e-08,3.35386278300116e-07,9.21460171125619
"PGK1",1.20998647989597,14.1762713802614,4.03610228633708,0.000320911099551152,0.00117108602746652,-0.425516913635055
"MST4",-1.87645273979914,9.61544445363701,-4.67016373483713,5.28047721108297e-05,0.000258215335621957,1.41374449952798
"TGFBR2",-1.72610968975207,10.9448562465831,-5.00427656005621,2.01325960880124e-05,0.000124618221354912,2.2998156514787
"BUB1B",5.5021823526077,7.89340796353441,11.0584700413631,2.09130748478831e-12,1.27831170007685e-10,18.2964540754785
"SRC",0.569525440241574,11.7109759446098,1.97601537173151,0.0569198572300269,0.0996730990628064,-5.25747693355938
"PKN2",0.305287125860595,12.1464303017715,1.12547127547144,0.268847084509928,0.352456365483524,-6.51687313397863
"BCR",0.501371599290618,10.6831551922427,1.87244545782121,0.0704037774566805,0.119956261938386,-5.42194579630231
"MARK4",-0.275953250301541,9.94084097627672,-1.06159609016865,0.296448372037777,0.385540568953385,-6.52316143572609
"MAPK13",3.63503447133576,9.83562718529556,7.19140124174931,3.86115311881857e-08,5.5532466914773e-07,8.59550311407251
"CDC42BPA",-1.91542756806318,11.0840209757699,-5.59514677289948,3.63640954856089e-06,2.86807140201012e-05,3.98882657488188
"PDK1",1.50014381682505,9.74184829683952,4.63044425281834,5.91933695903534e-05,0.000281024832327018,1.30584977169228
"RIPK1",-0.130756067215691,11.2558270818621,-0.581112177922942,0.565278192736432,0.645843542635784,-6.97799497973803
"JAK3",0.490295930352652,8.4739476346685,1.42321734387437,0.164450926430311,0.240049262759469,-5.96496015127147
"NEK7",-1.01631177394053,12.0207659896948,-3.36172491309031,0.00203593737905202,0.00585631399033198,-2.20929368051931
"CLK4",0.190353309891415,11.0333924512456,0.77085454368742,0.446506612268185,0.535113388218726,-6.83444869664183
"MYLK",-6.44314917211387,13.3265413343779,-12.730222183795,5.36939223836133e-14,6.56408201139673e-12,21.9363021009398
"PIM3",0.147402300892402,11.2422562568384,0.385964292237459,0.702103986671283,0.773263174509589,-7.05676066715805
"ITK",-0.135815516368773,5.67148072678812,-0.238106345825323,0.81333256591058,0.86273237468606,-6.69279742912891
"MAST3",0.966615739841766,6.30454076222845,2.37137010678402,0.0239760626079466,0.0490556260053804,-4.12401222071817
"AURKC",0.0532356070623694,4.51938582276773,0.0956655164384066,0.924389048975717,0.951634199892896,-6.64092441337552
"ACVR2B",1.48507408448214,7.91963846378363,4.89749200667864,2.74150012229431e-05,0.000149938470584965,2.16899558456013
"CDK12",0.994312092434081,10.6530609808993,3.60882405814739,0.00104671936387559,0.00341230512623443,-1.53179015940381
"FASTKD5",0.846805398036897,8.96305137983627,2.58474441460374,0.0145640858982254,0.0317939196617509,-3.91298434064015
"GSG2",3.91354825765958,5.82434086029944,8.00305907695192,4.1986265036768e-09,8.21251344119182e-08,10.8813601335319
"AKT1",-0.25827884606468,12.3550842340518,-0.823526204223029,0.416367870536629,0.506477335055751,-6.80624844398638
