context,direction,rank,term,pvalue,qvalue,is_nominated_agent,n_up_genes
penile squamous cell carcinoma,mimicry (control),16,LJP005 A549 24H-WZ-3105-10,9.983451974464694e-07,0.001877575333522607,False,3544
penile squamous cell carcinoma,mimicry (control),17,LJP006 HA1E 24H-A443654-3.33,1.6485356058049806e-06,0.00291800499495751,False,3544
penile squamous cell carcinoma,mimicry (control),18,LJP006 PC3 24H-AT-7519-10,5.34809139257213e-06,0.00894052322743822,False,3544
penile squamous cell carcinoma,mimicry (control),19,LJP006 HA1E 24H-PF-562271-10,5.797189597551232e-06,0.009181222746311269,False,3544
penile squamous cell carcinoma,mimicry (control),20,LJP006 HCC515 24H-BMS-387032-10,6.943276356350466e-06,0.010446506441947093,False,3544
penile squamous cell carcinoma,mimicry (control),21,LJP005 BT20 3H-XMD16-144-3.33,1.713041688217455e-05,0.023744043111414922,False,3544
penile squamous cell carcinoma,mimicry (control),22,LJP006 HCC515 24H-AT-7519-10,1.7359640704899414e-05,0.023744043111414922,False,3544
penile squamous cell carcinoma,mimicry (control),23,LJP006 HA1E 24H-AT-7519-3.33,1.939978820974362e-05,0.02538082726171284,False,3544
penile squamous cell carcinoma,mimicry (control),24,LJP006 HA1E 24H-AZD-5438-10,2.1792402576876997e-05,0.027323132747533573,False,3544
penile squamous cell carcinoma,mimicry (control),25,LJP006 MCF10A 24H-AZD-5438-10,3.4649963009223024e-05,0.04170608147642121,False,3544
sarcomatoid urothelial carcinoma,reversal,1,LJP005 MCF10A 24H-AZD-8330-1.11,8.193646934370408e-13,2.0722780111677783e-08,False,1172
sarcomatoid urothelial carcinoma,reversal,2,LJP005 MCF10A 24H-PD-0325901-0.37,1.8349784287138263e-12,2.0722780111677783e-08,False,1172
sarcomatoid urothelial carcinoma,reversal,3,LJP005 MCF10A 24H-erlotinib-10,2.8366969113552285e-12,2.0722780111677783e-08,True,1172
sarcomatoid urothelial carcinoma,reversal,4,LJP005 MCF10A 24H-NU-7441-10,2.8366969113552285e-12,2.0722780111677783e-08,False,1172
sarcomatoid urothelial carcinoma,reversal,5,LJP005 MCF10A 24H-erlotinib-3.33,7.5822319791472e-12,3.639634065496556e-08,True,1172
sarcomatoid urothelial carcinoma,reversal,6,LJP006 BT20 24H-palbociclib-0.12,7.767045839024343e-12,3.639634065496556e-08,True,1172
sarcomatoid urothelial carcinoma,reversal,7,LJP005 MCF10A 24H-dovitinib-10,8.718879729809346e-12,3.639634065496556e-08,False,1172
sarcomatoid urothelial carcinoma,reversal,8,LJP006 A375 24H-palbociclib-0.37,1.1782532816222927e-11,4.3037173927856264e-08,True,1172
sarcomatoid urothelial carcinoma,reversal,9,LJP006 A375 24H-palbociclib-10,1.3731002668702224e-11,4.458151433134974e-08,True,1172
sarcomatoid urothelial carcinoma,reversal,10,LJP006 MCF10A 24H-lapatinib-10,2.061340428517868e-11,6.023442866172061e-08,False,1172
sarcomatoid urothelial carcinoma,reversal,11,LJP006 HS578T 24H-palbociclib-0.12,3.080702135199845e-11,8.183745190243152e-08,True,1172
sarcomatoid urothelial carcinoma,reversal,12,LJP006 HT29 24H-palbociclib-10,4.200199100507905e-11,9.84535005641439e-08,True,1172
sarcomatoid urothelial carcinoma,reversal,13,LJP006 HCC515 24H-PHA-793887-3.33,4.537116934201733e-11,9.84535005641439e-08,False,1172
sarcomatoid urothelial carcinoma,reversal,14,LJP006 HT29 24H-palbociclib-0.37,4.722757700818822e-11,9.84535005641439e-08,True,1172
sarcomatoid urothelial carcinoma,reversal,15,LJP006 BT20 24H-palbociclib-0.37,5.0539081772087146e-11,9.84535005641439e-08,True,1172
sarcomatoid urothelial carcinoma,reversal,16,LJP006 MCF10A 24H-gefitinib-0.37,6.680620541764441e-11,1.220090080318117e-07,False,1172
sarcomatoid urothelial carcinoma,reversal,17,LJP006 HME1 24H-palbociclib-1.11,9.953666191295739e-11,1.710918116328546e-07,True,1172
sarcomatoid urothelial carcinoma,reversal,18,LJP005 MCF10A 24H-AZD-8330-0.04,1.3150144526448212e-10,2.1347798511519068e-07,False,1172
sarcomatoid urothelial carcinoma,reversal,19,LJP006 HCC515 24H-palbociclib-3.33,1.405189180936612e-10,2.161107002955197e-07,True,1172
sarcomatoid urothelial carcinoma,reversal,20,LJP006 HT29 24H-palbociclib-1.11,1.6845665733835206e-10,2.3648839583591685e-07,True,1172
sarcomatoid urothelial carcinoma,reversal,21,LJP006 BT20 24H-palbociclib-10,1.6995504303597599e-10,2.3648839583591685e-07,True,1172
