context,refit_context,rule,pathway,overlap_k,pathway_size_K,de_set_size_n,universe_N,pvalue,overlap_genes,qvalue_BH
PSCC,PSCC,p<0.05 & logFC>0.5,HIF1_signaling,14,107,5837,30818,0.9580627708004057,ANGPT1; ANGPT2; CYBB; EGF; EGLN3; FLT1; IFNG; IFNGR1; IGF1; IL6; LDHAL6B; PLCG2; PRKCB; TEK,0.9999999999424565
PSCC,PSCC,p<0.05 & logFC>0.5,VEGF_signaling,4,57,5837,30818,0.9970109854958022,KDR; NFATC2; PLCG2; PRKCB,0.9999999999424565
PSCC,PSCC,p<0.05 & logFC>0.5,Homologous_Recombination,1,41,5837,30818,0.9998187335603433,SYCP3,0.9999999999424565
PSCC,PSCC,p<0.05 & logFC>0.5,PI3K_AKT_signaling,57,353,5837,30818,0.9237359742154988,ANGPT1; ANGPT2; BCL2L11; COL1A1; COL1A2; COL4A1; COL6A3; COL6A5; CSF1R; EGF; ERBB3; FGF7; FLT1; FLT3; GNG2; GNGT1; GYS2; HGF; IBSP; IFNA10; IFNA13; IFNA14; IFNA16; IFNA17; IFNA4; IFNA5; IGF1; IL2; IL2RA; IL2RG; IL4; IL6; IL7; IL7R; ITGA1; ITGA8; ITGA9; ITGB8; JAK2; KDR; KIT; LAMA2; LAMA4; LPAR4; LPAR6; NTRK2; PDGFRA; PIK3AP1; PIK3CG; PPP2R2C; PRLR; SGK1; SGK3; SPP1; TEK; TNC; VWF,0.9999999999424565
PSCC,PSCC,p<0.05 & logFC>0.5,p53_signaling,4,75,5837,30818,0.999852744291111,GORAB; IGF1; SESN3; SIAH1,0.9999999999424565
PSCC,PSCC,p<0.05 & logFC>0.5,Chemokine_signaling,41,188,5837,30818,0.1795946809352579,ARRB1; CCL18; CCL2; CCL5; CCL7; CCL8; CCR1; CCR2; CCR3; CCR4; CCR5; CCR6; CCR8; CXCL10; CXCL11; CXCL12; CXCL13; CXCL14; CXCL5; CXCL8; CXCL9; CXCR4; CXCR6; DOCK2; ELMO1; GNG2; GNGT1; GRK4; HCK; ITK; JAK2; PIK3CG; PLCB1; PLCB4; PLCG2; PPBP; PRKCB; STAT1; STAT2; TIAM1; VAV3,0.9999999999424565
PSCC,PSCC,p<0.05 & logFC>0.5,Cytokine_receptor_interaction,76,291,5837,30818,0.0015602344524031373,ACKR4; BMP5; BMPR1B; CCL18; CCL2; CCL5; CCL7; CCL8; CCR1; CCR2; CCR3; CCR4; CCR5; CCR6; CCR8; CD4; CD40LG; CSF1R; CSF2RA; CXCL10; CXCL11; CXCL12; CXCL13; CXCL14; CXCL5; CXCL8; CXCL9; CXCR4; CXCR6; IFNA10; IFNA13; IFNA14; IFNA16; IFNA17; IFNA4; IFNA5; IFNG; IFNGR1; IFNW1; IL13RA2; IL15; IL18R1; IL18RAP; IL1R1; IL1R2; IL1RN; IL2; IL21; IL22; IL23R; IL26; IL2RA; IL2RG; IL33; IL33R; IL36B; IL36G; IL36R; IL4; IL5; IL5RA; IL6; IL7; IL7R; MSTN; PPBP; PRLR; TNFRSF17; TNFRSF19; TNFRSF9; TNFSF10; TNFSF13B; TNFSF15; TNFSF18; TNFSF4; TNFSF8,0.02808422014325647
PSCC,PSCC,p<0.05 & logFC>0.5,Antigen_processing_presentation,22,79,5837,30818,0.03445131832865883,CD4; CD74; CTSS; HLA-A; HLA-DMA; HLA-DMB; HLA-DPA1; HLA-DPB1; HLA-DQA1; HLA-DQA2; HLA-DQB1; HLA-DQB2; HLA-DRA; HLA-DRB1; HLA-DRB3; HLA-DRB4; HLA-DRB5; IFNG; KLRC1; KLRC2; KLRC4; KLRD1,0.3100618649579295
PSCC,PSCC,p<0.05 & logFC>0.5,PDL1_PD1_checkpoint,12,88,5837,30818,0.9253568866585529,CD28; CD3G; CD4; EGF; FOS; IFNG; IFNGR1; JAK2; MAP2K6; NFATC2; RASGRP1; STAT1,0.9999999999424565
PSCC,PSCC,p<0.05 & logFC>0.5,Pentose_phosphate_pathway,1,30,5837,30818,0.9981688341292793,RBKS,0.9999999999424565
PSCC,PSCC,p<0.05 & logFC>0.5,Arachidonic_acid_metabolism,5,60,5837,30818,0.993282953177298,CYP2C19; CYP2C8; CYP2C9; HPGD; HPGDS,0.9999999999424565
PSCC,PSCC,p<0.05 & logFC>0.5,Neuroactive_ligand_receptor,69,365,5837,30818,0.5284442871632851,AGTR2; AVPR1A; C3AR1; C5; C5AR1; CHRM3; CYSLTR1; CYSLTR2; EDNRA; EDNRB; F2RL2; FPR2; FPR3; FSHR; GABRA2; GABRA6; GABRG1; GABRG2; GABRR3; GCG; GLRA2; GLRA3; GNRHR; GRIA2; GRIA3; GRIA4; GRID2; GRIK2; GRM8; GZMA; HRH4; HTR1F; HTR2B; IAPP; INSL5; KNG1; LPAR4; LPAR6; MAS1; MC2R; MC4R; NMBR; NPS; NPVF; NPY1R; NPY5R; OPRM1; P2RX7; P2RY10; P2RY13; P2RY14; PAQR9; PATE1; PLG; PMCH; PRLR; PTGER3; PTH; PTH2R; RXFP1; RXFP2; TAAR1; TAAR2; TRHR; TSHB; TSHR; UTS2; UTS2B; VIP,0.9999999999424565
PSCC,PSCC,p<0.05 & logFC>0.5,Prostate_cancer,10,104,5837,30818,0.9970443208731629,EGF; ERG; FOLH1; IGF1; IL1R2; LEF1; MMP3; MMP9; PDGFRA; ZEB1,0.9999999999424565
PSCC,PSCC,p<0.05 & logFC>0.5,Bladder_cancer,5,41,5837,30818,0.9101886537367551,CXCL8; DAPK1; EGF; MMP1; MMP9,0.9999999999424565
PSCC,PSCC,p<0.05 & logFC>0.5,Renal_cell_carcinoma,2,66,5837,30818,0.9999844920987325,EGLN3; HGF,0.9999999999424565
PSCC,PSCC,p<0.05 & logFC>0.5,Epigenetic_Regulation,3,92,5837,30818,0.9999990024104347,BRD2; BRDT; KAT2B,0.9999999999424565
SarcUC,SarcUC,q<0.05 & logFC>0.5,Cell_Cycle,22,157,1172,20363,9.767699585779276e-05,ABL1; ANAPC11; ANAPC2; ANAPC4; ATM; CCNE1; CDC20; CDC25B; CDCA5; CDKN2A; CDKN2C; CDKN2D; DDX11; ESPL1; GADD45G; MAD1L1; MAD2L1BP; MCM2; MCM5; MDM2; PKMYT1; TGFB1,0.0017581859254402698
SarcUC,SarcUC,q<0.05 & logFC>0.5,Apoptosis,10,135,1172,20363,0.25027591244883207,ATF4; ATM; CTSL; DIABLO; GADD45G; PIDD1; PIK3CD; RIPK1; TRADD; TRAF2,0.5005518248976641
SarcUC,SarcUC,q<0.05 & logFC>0.5,HIF1_signaling,3,107,1172,20363,0.9499477924315008,ANGPT2; PIK3CD; PRKCB,0.9799502279628752
SarcUC,SarcUC,q<0.05 & logFC>0.5,VEGF_signaling,4,56,1172,20363,0.40410170423613556,CDC42; PIK3CD; PLA2G4C; PRKCB,0.6612573342045854
